Station Name,Agency Name,State Name,District,Basin Name,Sub Basin Name,Date Collection,Longitude,Latitude,k,cl,ca,hco3,mg,f,ph_gen,Level (m)
Unchalli,CGWB,Karnataka,Uttara Kannada,Krishna Basin,Tungabhadra Upper,2019,74.90611111,14.57805556,16,61,2.42,0.31,50,9.52,9.52,NaN
Uplai,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2019,76.85,17.425,64,146.4,89.984,0.49,111.6,8.07,8.07,NaN
Upparpet,CGWB,Karnataka,Kolar,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,2019,77.99166667,13.4,30,91.5,21.78,0.58,21,8.46,8.46,NaN
Uttaballi,CGWB,Karnataka,Chamarajanagar,Cauvery Basin,Cauvery Middle,2019,77.075,12.14722222,54,273,22.99,0.19,211,9.72,9.72,NaN
Vadagere,CGWB,Karnataka,Kolar,East flowing rivers between Pennar and Kanyakumari Basin,Ponnaiyar and other,2019,78.09638889,13.0475,52,283,59.29,1.3,402,9.27,9.27,NaN
Vadageri,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2019,75.04861111,14.875,18,77,3.63,0.35,63,8.59,8.59,NaN
Vaddarahalli,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2019,76.06111111,12.80555556,36,24,29,1.35,64,9.57,9.57,NaN
Vajjal,CGWB,Karnataka,Kalaburagi,Krishna Basin,Krishna Upper,2019,76.54722222,16.47666667,90,183,34.048,1.65,183.5,7.582,7.582,NaN
Vandatte,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2019,74.725,14.36666667,18,123,2.42,0.35,74,9.15,9.15,NaN
Vandse,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2019,74.7625,13.70833333,8,63,1.21,1.14679,36,7.918,7.918,NaN
